t,nArrived,meanWaitingTime,meanTimeLoss,meanTravelTime
58198,1,38.0,64.9,246.0
58199,2,18.5,35.315,133.5
58200,2,142.0,201.91500000000002,370.0
58201,2,165.5,236.45499999999998,412.5
58202,2,120.5,149.51999999999998,301.5
58204,3,88.0,120.8,279.3333333333333
58205,2,87.0,122.175,260.5
58206,1,75.0,104.33,264.0
58207,1,75.0,118.93,255.0
58208,2,85.5,117.25,252.0
58209,1,71.0,108.86,261.0
58210,2,80.5,130.51500000000001,294.5
58211,1,73.0,103.46,244.0
58212,3,70.66666666666667,124.33333333333333,286.3333333333333
58214,2,161.0,223.565,368.5
58215,1,81.0,126.07,288.0
58216,3,128.0,173.5533333333333,315.6666666666667
58217,2,186.0,250.64999999999998,397.0
58218,2,162.5,219.715,356.5
58219,1,66.0,141.24,283.0
58220,2,75.5,130.28,311.0
58225,1,125.0,193.01,332.0
58226,2,148.0,201.575,354.5
58227,1,293.0,353.46,493.0
58233,1,89.0,134.12,258.0
58240,1,0.0,5.61,30.0
58241,4,39.0,70.4175,196.75
58243,1,54.0,70.58,115.0
58245,1,108.0,145.97,256.0
58246,2,176.0,240.82,413.5
58249,1,110.0,162.78,391.0
58251,2,48.5,80.18,149.5
58253,1,41.0,63.06,145.0
58254,1,77.0,105.33,270.0
58257,2,48.5,76.7,288.5
58258,1,37.0,62.0,139.0
58259,2,8.0,17.01,67.0
58260,2,75.0,124.585,269.5
58261,1,160.0,213.68,418.0
58262,1,56.0,96.78,200.0
58263,1,175.0,242.63,423.0
58264,2,72.5,122.925,273.5
58265,3,91.66666666666667,135.62333333333333,273.0
58266,2,68.0,116.4,246.0
58267,3,87.33333333333333,136.98333333333332,318.0
58268,3,52.333333333333336,84.05,237.0
58269,1,144.0,168.02,321.0
58270,4,77.5,124.55,276.5
58271,3,64.0,121.15666666666668,302.0
58272,1,80.0,133.8,328.0
58273,1,120.0,151.22,308.0
58274,4,74.0,118.96249999999999,291.5
58276,3,75.33333333333333,136.06333333333333,280.3333333333333
58277,3,47.666666666666664,91.53000000000002,248.0
58278,2,85.5,141.88,311.0
58279,2,38.5,106.69,248.5
58280,3,68.0,105.91333333333334,282.0
58281,2,12.5,29.185000000000002,167.5
58282,3,75.33333333333333,134.72666666666666,335.3333333333333
58283,2,65.0,110.075,299.5
58284,1,31.0,92.66,266.0
58288,1,24.0,76.33,274.0
58289,1,81.0,150.91,271.0
58291,3,96.66666666666667,136.39333333333332,262.3333333333333
58292,1,133.0,170.77,339.0
58293,2,62.5,84.21000000000001,205.5
58296,2,107.5,148.38,317.5
58297,1,84.0,117.48,309.0
58298,1,109.0,166.12,334.0
58299,3,77.33333333333333,125.23,281.0
58301,1,34.0,93.07,187.0
58302,1,111.0,161.83,311.0
58303,1,337.0,428.15,544.0
58304,2,25.5,61.285,144.0
58305,1,82.0,137.53,300.0
58307,1,47.0,114.15,366.0
58308,1,77.0,127.35,289.0
58310,1,8.0,34.08,193.0
58311,1,51.0,133.38,301.0
58312,2,74.0,116.065,307.0
58313,1,49.0,141.75,291.0
